Flagellin_ID	Phylum	Class	Order	Family	Genus	Species	Predicted_v1	Experimental	Predicted_v3
CUN17643_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia faecis	non-silent	not_checked	active
SCG91213_1	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	uncultured Clostridium sp.	non-silent	not_checked	active
CDA57245_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis CAG:13	non-silent	not_checked	active
CBL12518_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	active
CCX84433_1	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:86	silent	evader	silent
SCH30535_1	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	uncultured Clostridium sp.	non-silent	not_checked	active
ABI48294_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	active
WP_055167936_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	non-silent	not_checked	active
WP_117920794_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia sp. OF03-24	non-silent	not_checked	active
RHM04043_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	active
WP_090141421_1	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus rogosae	non-silent	not_checked	active
CBL10955_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	active
RHU62160_1	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. TF08-15	silent	active	silent
RGB89794_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster clostridioformis	non-silent	not_checked	active
RGM67005_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
OLA19374_1	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. 41_20	non-silent	not_checked	active
RGK38469_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
CUN75746_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	non-silent	not_checked	active
EEV02466_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	NA
OLA17596_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	Lachnospira eligens	non-silent	not_checked	active
CDA56948_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis CAG:13	non-silent	not_checked	active
WP_055306475_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	Lachnospira pectinoschiza	non-silent	not_checked	active
RHP99345_1	Firmicutes	-	-	-	-	Firmicutes bacterium AM59-13	non-silent	not_checked	active
WP_118093268_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	non-silent	active	active
AEN95291_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia hominis	non-silent	not_checked	active
CDD73438_1	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:62	silent	not_checked	silent
WP_012744006_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	silent
DAB13175_1	Candidatus Melainabacteria	-	Candidatus Gastranaerophilales	-	-	Candidatus Gastranaerophilales bacterium HUM_16	non-silent	not_checked	active
RGZ11631_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
CDA54472_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis CAG:13	non-silent	not_checked	silent
CCX81517_1	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:86	non-silent	not_checked	active
WP_015561565_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	active
CBK97362_1	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Eubacterium	[Eubacterium] siraeum	non-silent	not_checked	active
WP_014081191_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia hominis	silent	silent	silent
OLA52640_1	Firmicutes	-	-	-	-	Firmicutes bacterium CAG:65_45_313	non-silent	not_checked	active
OKZ93849_1	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. 36_13	non-silent	active	active
WP_006857364_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	active
WP_118370630_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
CRL39299_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia faecis	non-silent	not_checked	active
RGZ99701_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
RHG23435_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
PWE84206_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
WP_109257419_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	silent
ABI48293_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	active
EEG95358_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	silent	silent	silent
WP_118109900_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	non-silent	not_checked	active
RHM07267_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	silent	not_checked	silent
WP_118592386_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	active
CCY74216_1	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:115	non-silent	evader	active
EEV02820_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	silent	not_checked	silent
WP_118370862_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
CUM89497_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	active
EEG95687_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	non-silent	not_checked	active
OLA60300_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia sp. CAG:18_43_25	silent	not_checked	active
WP_117480151_1	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. AF36-4	non-silent	silent	silent
WP_118344389_1	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	[Eubacterium] eligens	silent	not_checked	silent
RGM51729_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	silent	not_checked	active
CUN28632_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	active
WP_118258094_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
CDC44420_1	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium siraeum CAG:80	non-silent	not_checked	active
EEG95601_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	non-silent	not_checked	active
WP_005352454_1	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Eubacterium	[Eubacterium] siraeum	non-silent	not_checked	active
RHG26511_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	silent	not_checked	silent
CUP07122_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	Lachnospira pectinoschiza	non-silent	not_checked	active
WP_118083460_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
WP_118369119_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
RHL75406_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
OLA03704_1	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:62_40_43	non-silent	not_checked	silent
RGU24923_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
RHD36424_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
CRL36890_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	non-silent	not_checked	active
WP_118551620_1	Firmicutes	-	-	-	-	Firmicutes bacterium AF22-6AC	non-silent	not_checked	active
RHI16995_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
WP_021984889_1	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Coprococcus hominis	silent	silent	silent
RGN25928_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
WP_118142167_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
WP_109258866_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
CUQ77784_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	Lachnospira pectinoschiza	non-silent	not_checked	active
RHB04853_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
CDE36459_1	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:38	non-silent	evader	active
RGU18694_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
RGN22778_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
WP_118337631_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
RGZ99700_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
OLA14460_1	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG76_36_125	non-silent	not_checked	active
RHL02157_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
WP_118098231_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia hominis	non-silent	evader	silent
RHD90091_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
WP_118375584_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	active	active
CDF10849_1	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:76	non-silent	not_checked	active
RGN25659_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	silent	not_checked	active
WP_117833175_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia sp. TF10-5	non-silent	not_checked	active
CDC39860_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio sp. CAG:318	non-silent	not_checked	silent
CDB66903_1	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:248	non-silent	not_checked	active
WP_117841879_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia sp. AF20-18LB	silent	silent	silent
WP_118203655_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	non-silent	active	active
WP_118337626_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
OLA11684_1	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG76_36_125	non-silent	not_checked	active
RHF83310_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	non-silent	not_checked	active
WP_118588324_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	non-silent	not_checked	active
CDB65654_1	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:248	silent	not_checked	silent
WP_055040199_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	silent	silent	silent
CBL13527_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	silent	not_checked	silent
CUQ77785_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	Lachnospira pectinoschiza	non-silent	not_checked	active
OKZ71715_1	Firmicutes	Clostridia	Clostridiales	unclassified Eubacteriales	unclassified Eubacteriales	Clostridiales bacterium 41_12_two_minus	non-silent	not_checked	active
WP_117686771_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
WP_118369686_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
WP_055273616_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
EEG94039_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	non-silent	not_checked	active
WP_118582665_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	silent	not_checked	silent
CUP26474_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	Lachnospira pectinoschiza	non-silent	not_checked	active
WP_055238763_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
RGT08610_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
RGT07235_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
RHU92598_1	Firmicutes	-	-	-	-	Firmicutes bacterium OM08-11AC	silent	silent	silent
RHL68652_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	Lachnospira eligens	non-silent	not_checked	active
CUO62757_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
RHC18549_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	silent	not_checked	silent
WP_050625265_1	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium phoceensis	non-silent	not_checked	active
RGX91734_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia sp. OF03-24	silent	silent	silent
SCH84177_1	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	uncultured Clostridium sp.	non-silent	not_checked	active
RHV15618_1	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. OM05-9BH	silent	evader	silent
WP_116443853_1	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides galacturonicus	non-silent	not_checked	active
EFF67400_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio crossotus	silent	silent	silent
OLA56907_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	active
RGW90465_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	Lachnospira eligens	non-silent	not_checked	active
OKZ51107_1	Firmicutes	Clostridia	Clostridiales	-	-	Clostridiales bacterium 41_21_two_genomes	non-silent	not_checked	active
OLA17164_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	Lachnospira eligens	non-silent	not_checked	active
RHC12202_1	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	[Eubacterium] eligens	silent	not_checked	silent
CDF10851_1	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:76	non-silent	not_checked	active
WP_118413510_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	active
WP_117993905_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
CUQ76131_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	Lachnospira pectinoschiza	non-silent	not_checked	active
WP_117919074_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
WP_118583869_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	non-silent	not_checked	active
WP_117465380_1	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. AF46-9NS	non-silent	not_checked	active
WP_055224501_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	silent	not_checked	active
OLA65180_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	non-silent	not_checked	active
RHL01760_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
OLA11685_1	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG76_36_125	non-silent	not_checked	active
ACR71439_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	Lachnospira eligens	non-silent	not_checked	active
ABI48292_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
WP_117714640_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
RHI23725_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
SCH68009_1	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	uncultured Clostridium sp.	non-silent	not_checked	active
WP_012744138_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
RHE89467_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	non-silent	not_checked	active
WP_117719094_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
RHV45029_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae bacterium	Lachnospiraceae bacterium OM04-12BH	non-silent	not_checked	active
RHU93238_1	Firmicutes	-	-	-	-	Firmicutes bacterium OM08-11AC	non-silent	active	active
WP_117752425_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
RGR68809_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia inulinivorans	non-silent	not_checked	active
ABI48291_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
CDE69918_1	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:277	non-silent	active	active
WP_117719502_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
WP_055142368_1	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Eubacterium	[Eubacterium] siraeum	non-silent	not_checked	active
CCZ30931_1	Proteobacteria	-	-	-	-	Proteobacteria bacterium CAG:495	non-silent	not_checked	NA
WP_055306884_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira	Lachnospira pectinoschiza	non-silent	not_checked	active
CBL07987_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	active
CUN20092_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
CDF07772_1	Firmicutes	-	-	-	-	Firmicutes bacterium CAG:95	non-silent	not_checked	active
WP_118372266_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	silent	not_checked	active
WP_118327358_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Agathobacter	Agathobacter rectalis	non-silent	not_checked	active
WP_065534017_1	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	Flavonifractor plautii	non-silent	silent	silent
CBL07965_1	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	non-silent	not_checked	active
WP_044941274_1	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	Flavonifractor plautii	non-silent	not_checked	active
WP_116443674_1	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides galacturonicus	non-silent	not_checked	active
